id,name,category,setup_minimum,setup_recommended,setup_ideal,notes,sizing,infoLink1_label,infoLink1_url,infoLink2_label,infoLink2_url,infoLink3_label,infoLink3_url,purchaseLink_minimum,purchaseLink_recommended,purchaseLink_ideal
enclosure-glass,Glass Terrarium,enclosure,Basic glass aquarium (20H),Exo Terra Glass Terrarium,Zen Habitats Glass with ventilation,Excellent visibility. Good humidity retention.,,Basic glass,https://www.google.com,Exo Terra Glass,https://www.google.com,Zen Habitats,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
enclosure-pvc,PVC Enclosure,enclosure,DIY PVC construction,Zen Habitats PVC,Reptile Kages Premium PVC,Superior humidity retention. Professional quality.,,DIY,https://www.google.com,Zen Habitats,https://www.google.com,Reptile Kages,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
enclosure-screen,Screen Enclosure,enclosure,DIY aluminum frame,Zoo Med ReptiBreeze,Custom aluminum frame,Maximum airflow. Excellent for low-humidity species.,,DIY,https://www.google.com,Zoo Med,https://www.google.com,Custom,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
uvb-fixture,UVB Linear Fixture,equipment,Zoo Med T5 HO Basic,Arcadia D3 Forest T5,Arcadia ProT5 HO with dimmer,Essential for vitamin D3 synthesis.,,Zoo Med,https://www.google.com,Arcadia D3,https://www.google.com,Arcadia Pro,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
heat-lamp,Ceramic Heat Emitter (CHE),equipment,Zoo Med 75W CHE + basic dome,Arcadia 100W CHE + REPTI ZOO dome,Arcadia 150W CHE + premium thermostat,Use thermostat to prevent overheating. NO heat mats (burn risk).,,Zoo Med,https://www.google.com,Arcadia,https://www.google.com,REPTI ZOO,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
substrate-bioactive,Bioactive Substrate Mix,substrate,DIY ABG Mix,Josh's Frogs ABG Mix,Premium Josh's Frogs Mix,DIYing is easy and cost-effective!,,DIY,https://www.google.com,Josh's Frogs,https://www.google.com,Premium,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
substrate-soil,Soil-Based Substrate,substrate,DIY ABG Mix,Josh's Frogs ABG Mix,Premium Josh's Frogs Mix,Good for plants and naturalistic setups.,,DIY,https://www.google.com,Josh's Frogs,https://www.google.com,Premium,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
substrate-paper,Paper-Based Substrate,substrate,Paper towels,Paper towels,Paper towels,Easy to replace and clean.,,Paper,https://www.google.com,,,,,https://www.google.com,https://www.google.com,https://www.google.com
substrate-foam,Foam Substrate,substrate,Frog Foam,Frog Foam,Frog Foam,Lightweight and reusable.,,Frog Foam,https://www.google.com,,,,,https://www.google.com,https://www.google.com,https://www.google.com
drainage,Drainage Layer (LECA or clay balls),substrate,Organic LECA,Organic LECA,Organic LECA,Essential for bioactive setups.,,LECA,https://www.google.com,,,,,https://www.google.com,https://www.google.com,https://www.google.com
drainage-barrier,Drainage Barrier (mesh screen),substrate,Mesh barrier,Mesh barrier,Mesh barrier,Prevents substrate from mixing with drainage layer.,,Mesh,https://www.google.com,,,,,https://www.google.com,https://www.google.com,https://www.google.com
springtails,Springtail Culture,cleanup_crew,Springtail Culture,Springtail Culture,Springtail Culture,Critical part of cleanup crew for bioactive environments.,,Springtails,https://www.google.com,,,,,https://www.google.com,https://www.google.com,https://www.google.com
isopods,Isopod Culture (Dwarf White),cleanup_crew,Dwarf isopods,Dwarf isopods,Dwarf isopods,Reproduce quickly and are easy to manage.,,Isopods,https://www.google.com,,,,,https://www.google.com,https://www.google.com,https://www.google.com
branches,Climbing Branches & Perches,decor,Natural branches,Cork bark branches,Premium manzanita,Cork bark and manzanita recommended.,,Natural,https://www.google.com,Cork,https://www.google.com,Manzanita,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
plants,Plants (live or artificial),decor,Artificial plants,Mixed live and artificial,Premium live plants,Artificial easier for beginners. Live plants for naturalistic setups.,,Artificial,https://www.google.com,Mixed,https://www.google.com,Live,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
plants-live,Live Plants,decor,Beginner plants,Variety pack,Premium rare species,Pothos and ferns are reliable starters.,,Beginner,https://www.google.com,Variety,https://www.google.com,Premium,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
plants-artificial,Artificial Plants,decor,Basic artificial,Realistic artificial,Premium realistic,Easy to maintain and won't wilt.,,Basic,https://www.google.com,Realistic,https://www.google.com,Premium,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
misting-system,Automated Misting System,equipment,Basic timer mister,Mid-range automatic,Professional fogger,Great for consistent humidity without manual misting.,,Basic,https://www.google.com,Mid-range,https://www.google.com,Professional,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
humidifier,Ultrasonic or Cool Mist Humidifier,equipment,Basic humidifier,Mid-range humidifier,Premium ultrasonic,Keep clean and use food-safe (no essential oils).,,Basic,https://www.google.com,Mid-range,https://www.google.com,Premium,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
fogger,Fogger (Ultrasonic Humidification),equipment,Basic fogger,Mid-range fogger,Premium fogger with timer,Great for bioactive setups with plants.,,Basic,https://www.google.com,Mid-range,https://www.google.com,Premium,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com
monitoring,Digital Thermometer & Hygrometer,equipment,Basic digital combo,Zoo Med dual gauge,Govee WiFi monitor with app,Monitor both warm and cool zones.,,Basic,https://www.google.com,Zoo Med,https://www.google.com,Govee,https://www.google.com,https://www.google.com,https://www.google.com,https://www.google.com